acctno,total_mailed,ytd_transactions_2009,ytd_sales_2009,zhomeent,zmobav,zcredit,zhitech,ZHOMEENT01,ZMOBAV01,ZCREDIT01,ZHITECH01
DQHSASQ,13,4,1590,U,U,Y,Y,0.0,0.0,1.0,1.0
DQHSPAQ,15,2,738,U,U,Y,Y,0.0,0.0,1.0,1.0
DQYLYQP,12,2,345,U,U,Y,Y,0.0,0.0,1.0,1.0
DQYLYPG,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
DQDWPPY,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
DQDSQSQ,9,3,489,Y,U,Y,Y,1.0,0.0,1.0,1.0
DPSPSQD,16,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
DPDPPYL,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
DLYWWHP,9,1,120,,,,,,,,
DLYADPW,8,4,492,U,U,Y,Y,0.0,0.0,1.0,1.0
DLYPSAH,8,1,165,U,U,Y,Y,0.0,0.0,1.0,1.0
DLYPPQQ,14,1,81,U,U,Y,Y,0.0,0.0,1.0,1.0
DLDQHLS,11,2,876,Y,Y,Y,Y,1.0,1.0,1.0,1.0
DGDAWQP,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WQWGHSWQ,10,1,666,U,U,Y,Y,0.0,0.0,1.0,1.0
WQWGHPGY,16,2,366,U,U,Y,Y,0.0,0.0,1.0,1.0
WQWGYQHY,14,1,225,U,U,Y,U,0.0,0.0,1.0,0.0
WQWGYPGG,16,7,2676,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQWGYYWS,16,1,180,U,U,Y,Y,0.0,0.0,1.0,1.0
WQWGDQYP,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQWHWDAP,16,3,2064,U,U,Y,U,0.0,0.0,1.0,0.0
WQWHWDAP,16,3,2064,U,U,Y,U,0.0,0.0,1.0,0.0
WQWHAWQP,16,1,57,Y,U,Y,U,1.0,0.0,1.0,0.0
WQWHASDS,16,0,0,Y,U,U,Y,1.0,0.0,0.0,1.0
WQWHDAWG,16,2,747,U,U,Y,Y,0.0,0.0,1.0,1.0
WQWYAYGS,13,3,441,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQSAPLWL,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WQPAQLYG,8,3,300,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQLQWWLS,16,2,1878,U,U,Y,Y,0.0,0.0,1.0,1.0
WQLQWADP,11,1,270,U,U,Y,Y,0.0,0.0,1.0,1.0
WQLDAHQH,12,3,525,U,U,Y,Y,0.0,0.0,1.0,1.0
WQLDAYDH,13,1,120,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQLDSSHP,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQLDPAPQ,13,1,123,U,U,Y,Y,0.0,0.0,1.0,1.0
WQLDPLYY,13,2,171,U,U,Y,Y,0.0,0.0,1.0,1.0
WQLDPHHY,9,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WQLDHDGW,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WQYDWPAA,13,1,240,U,U,Y,Y,0.0,0.0,1.0,1.0
WQYDWPAA,13,1,240,U,U,Y,Y,0.0,0.0,1.0,1.0
WQYDADYA,16,2,399,Y,U,Y,Y,1.0,0.0,1.0,1.0
WQDQAGAL,7,1,165,U,U,Y,Y,0.0,0.0,1.0,1.0
WQDQHALW,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWQALQPG,16,3,2394,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWWSWGP,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWWSSLP,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWWPYSA,12,3,1551,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWWPYYW,8,4,1593,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWWGSSA,11,1,114,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWAAGQS,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWWSSQYD,8,3,558,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWWGGDYQ,11,2,426,U,U,Y,U,0.0,0.0,1.0,0.0
WWAYYSHQ,15,1,1581,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSLWWPL,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPPAAYA,10,1,2352,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLQQYDD,14,2,315,U,U,U,Y,0.0,0.0,0.0,1.0
WWGAQQHH,13,4,678,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWGADYYY,12,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWGSGAWP,10,4,1005,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHPDGAD,16,3,345,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWYQAWPH,15,2,468,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYLQLDW,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQGAQLL,12,2,240,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQHPYSH,13,13,4251,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAWAAAPY,16,12,3816,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWYPLGQ,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WASGAPHW,8,2,153,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGLAWSH,16,1,318,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHSQPHD,9,3,753,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHSQLPL,12,2,282,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WAHLLDSQ,9,2,1143,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHDDGYQ,14,1,480,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYYSLDW,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAYYDQHH,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WADLPYAA,16,1,696,U,U,Y,Y,0.0,0.0,1.0,1.0
WSQQSSHW,7,1,357,U,U,Y,Y,0.0,0.0,1.0,1.0
WSQWDPDA,11,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSQLHDAA,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSQDYGDP,10,1,48,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWASHWG,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWASHSA,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWASDDH,7,3,435,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWAYLGG,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWAYGLH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSWPSDHD,16,4,966,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSAAHLSS,8,1,441,U,U,Y,Y,0.0,0.0,1.0,1.0
WSSWWPAY,8,1,360,,,,,,,,
WSSAPGAD,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSSAPGPL,9,2,381,U,U,Y,U,0.0,0.0,1.0,0.0
WSSAGDPH,14,1,894,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSSSAWSL,16,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WSSDYPAL,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSSDYDLS,7,3,1176,U,U,Y,Y,0.0,0.0,1.0,1.0
WSLQLAYP,16,0,0,,,,,,,,
WSGPQADH,7,2,90,U,U,Y,U,0.0,0.0,1.0,0.0
WSGGPQYW,13,1,168,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSGHDPDS,7,1,162,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSGYAAHS,8,1,15,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WSGYPQPY,8,4,774,U,U,Y,U,0.0,0.0,1.0,0.0
WSHGDDYD,7,2,189,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSHHLSWH,7,7,1140,U,U,Y,Y,0.0,0.0,1.0,1.0
WSHYQPGL,8,2,180,U,U,Y,Y,0.0,0.0,1.0,1.0
WSHDLDWD,13,1,126,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSYQAGYW,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WSYQGHGL,16,1,234,Y,U,Y,Y,1.0,0.0,1.0,1.0
WSYHAPLA,11,1,42,U,U,U,U,0.0,0.0,0.0,0.0
WSDGPQQA,10,2,693,U,U,Y,Y,0.0,0.0,1.0,1.0
WPQHASQQ,15,2,393,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWQGGQS,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWWHGAG,7,4,375,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWAWSWS,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWAWGDS,16,1,87,Y,U,Y,Y,1.0,0.0,1.0,1.0
WPWAALHG,14,5,543,Y,U,Y,Y,1.0,0.0,1.0,1.0
WPWAPQWQ,8,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WPWAPPLH,15,1,300,Y,U,Y,U,1.0,0.0,1.0,0.0
WPWALDHL,9,1,102,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWAYPLY,16,0,0,Y,U,Y,U,1.0,0.0,1.0,0.0
WPWSWASD,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWSPQSL,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWSYADW,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WPWSYPLH,11,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WPWSYLLG,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWPPLHQ,8,1,168,U,U,Y,Y,0.0,0.0,1.0,1.0
WPWGHQWD,9,3,1986,U,U,Y,Y,0.0,0.0,1.0,1.0
